model,round,n_drivers,win_log_loss,win_brier,podium_log_loss,podium_brier,p_actual_winner,top1_hit,spearman_rho,mae_position,sigma_test,sigma_cv
A_ridge,6,22,0.09540537489975055,0.028120663636409093,0.2792689319006279,0.08576082113636362,0.2668,1.0,0.34613212874082444,5.37137282744237,6.788655537561192,4.318798117294813
B_random_forest,6,22,0.11286964760114349,0.034201279090909094,0.3248571295715346,0.1063990225,0.198,0.0,0.2885375494071147,5.178042482722113,6.864083825050937,4.3462984127968625
C_gradient_boosting,6,22,0.2159966991778267,0.05378918363636364,0.44963819383091086,0.15907077295454544,0.02665,0.0,0.25127046866177305,5.763819141060404,7.7253374405961575,4.50348323554862
D_grid_baseline,6,22,0.08857406446528171,0.026465869545636365,0.27105183329205934,0.08370506613640909,0.30215,1.0,0.37323546019198195,5.090909090909091,7.270291799999699,4.467875055356925
B1_pole_wins,6,22,1.000000500029089e-06,1.000000000002614e-12,1.2559564143595356,0.0909089090919091,1.0,1.0,,,,
B2_champ_leader_wins,6,22,1.000000500029089e-06,1.000000000002614e-12,2.5119118287185724,0.18181781818281817,1.0,1.0,,,,
B3_uniform,6,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132227,0.045454545454545456,,,,,
A_ridge,7,22,0.1197067030238435,0.035590355000000004,0.2233898037526516,0.06968157522727271,0.1736,0.0,0.7165443252399775,3.2597727447339824,4.355851337334444,4.519555835268305
B_random_forest,7,22,0.1606226640918442,0.04342715249999999,0.26011985288320594,0.0836224659090909,0.0778,0.0,0.7617165443252402,3.092512102145986,4.179786001756795,4.787125757506524
C_gradient_boosting,7,22,0.19136135145593983,0.04700734750000001,0.29684936828860453,0.09662110931818182,0.0413,0.0,0.7707509881422926,3.065697624455606,4.170204307422564,5.044363410236583
D_grid_baseline,7,22,0.10698622627666757,0.03307086181827272,0.18595252757150174,0.05641817977272727,0.22225,0.0,0.7413890457368719,3.090909090909091,4.6700667885506535,4.853238426467011
B1_pole_wins,7,22,1.2559564143595359,0.09090890909190909,1.2559564143595356,0.0909089090919091,0.0,0.0,,,,
B2_champ_leader_wins,7,22,1.2559564143595356,0.0909089090919091,1.2559564143595356,0.0909089090919091,0.0,0.0,,,,
B3_uniform,7,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132231,0.045454545454545456,,,,,
A_ridge,8,22,0.11311543647916111,0.03355791931822726,0.24239200186534848,0.07865793863636365,0.1952,1.0,0.9333709768492378,2.327598302496579,2.7139546183635708,4.535476510951155
B_random_forest,8,22,0.10576729424782254,0.031082015909090908,0.23735021469176248,0.07593054136363638,0.22175,1.0,0.9107848673066066,2.262979606721683,2.945080908519837,4.592934609772711
C_gradient_boosting,8,22,0.12273236071621624,0.0363617775,0.24469773830352357,0.07798009363636364,0.16405,0.0,0.8520609824957651,2.4021476966315563,3.4644015281158786,4.911933365906287
D_grid_baseline,8,22,0.0939151118887338,0.028067542272863635,0.22596279058598848,0.07505473681818181,0.27535,1.0,0.9367588932806326,1.8181818181818181,2.309401076758503,4.825363665764822
B1_pole_wins,8,22,1.000000500029089e-06,1.000000000002614e-12,2.5119118287185724,0.18181781818281817,1.0,1.0,,,,
B2_champ_leader_wins,8,22,1.2559564143595359,0.09090890909190909,1.2559564143595356,0.0909089090919091,0.0,0.0,,,,
B3_uniform,8,22,0.18490739916777565,0.04338842975206613,0.3983071138052843,0.11776859504132231,0.045454545454545456,,,,,
A_ridge,9,22,0.12751997094779915,0.037968483636409096,0.21734219897921658,0.06873343068181818,0.15085,0.0,0.5866741953698477,4.035433644514705,5.270190308419098,4.376587692843309
B_random_forest,9,22,0.12588960142916564,0.0390598775,0.25863329598244156,0.08799907750000001,0.1598,0.0,0.6081309994353473,3.982751307893645,5.4653750677506565,4.553427957015782
C_gradient_boosting,9,22,0.1307486583842058,0.040491414999999996,0.2732123448025709,0.09490658750000001,0.14605,0.0,0.6431394692264258,3.8357928760908973,5.236673092555434,4.962710921192985
D_grid_baseline,9,22,0.1131063237248032,0.03517830000022727,0.20510996128848405,0.0667619793181818,0.2001,0.0,0.5787690570299266,4.363636363636363,5.960185359853293,4.64448699370128
B1_pole_wins,9,22,1.2559564143595356,0.0909089090919091,1.2559564143595359,0.09090890909190909,0.0,0.0,,,,
B2_champ_leader_wins,9,22,1.2559564143595356,0.0909089090919091,1.2559564143595356,0.0909089090919091,0.0,0.0,,,,
B3_uniform,9,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132231,0.045454545454545456,,,,,
A_ridge,10,22,0.10163714719655187,0.02994645250004546,0.22071088111733037,0.06970726295454545,0.23895,1.0,0.6713721061547149,2.6602129516470345,4.560959790229014,4.312457203828279
B_random_forest,10,22,0.09362369629174236,0.02714810954545455,0.20398860795414528,0.06138083863636365,0.27375,1.0,0.7346132128740825,2.5685476221386456,4.451827593724252,4.354045772153606
C_gradient_boosting,10,22,0.07662163129462622,0.020987912045499997,0.2260966104874085,0.07041601772727273,0.3613,1.0,0.7391304347826088,2.6650061198006636,4.364686096415405,4.591874150088402
D_grid_baseline,10,22,0.09066994205280896,0.026940339318363635,0.18750509396721418,0.057714397272772715,0.29075,1.0,0.6194240542066629,2.909090909090909,5.665265933320173,4.595561542882155
B1_pole_wins,10,22,1.000000500029089e-06,1.000000000002614e-12,1.2559564143595359,0.09090890909190909,1.0,1.0,,,,
B2_champ_leader_wins,10,22,1.000000500029089e-06,1.000000000002614e-12,2.5119118287185724,0.18181781818281817,1.0,1.0,,,,
B3_uniform,10,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132227,0.045454545454545456,,,,,
A_ridge,11,22,0.12807779082734103,0.037821285909136367,0.26743260850837924,0.0916652665909091,0.1486,0.0,0.7809147374364765,2.7635343331147126,4.053372623097341,4.299616889383618
B_random_forest,11,22,0.11311429866676477,0.03420505159095454,0.24048854702358333,0.08042308386363636,0.197,0.0,0.7978543195934501,2.767891860522169,3.7489167206962812,4.305541999743786
C_gradient_boosting,11,22,0.14854400887875618,0.046337753409090916,0.27025149343363075,0.09280938545454544,0.1076,0.0,0.7989836250705817,2.8950600567870093,3.7295390316981663,4.625002232964661
D_grid_baseline,11,22,0.09585914489745898,0.028865564091090902,0.26070911700178373,0.08864764818186363,0.26695,1.0,0.7707509881422926,2.4545454545454546,4.396968652757639,4.671991124370186
B1_pole_wins,11,22,1.000000500029089e-06,1.000000000002614e-12,2.5119118287185724,0.18181781818281817,1.0,1.0,,,,
B2_champ_leader_wins,11,22,1.2559564143595356,0.0909089090919091,2.5119118287185724,0.18181781818281817,0.0,0.0,,,,
B3_uniform,11,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132227,0.045454545454545456,,,,,
A_ridge,12,22,0.12414755832871757,0.03675450545454544,0.21047210229931074,0.06587688113636365,0.15975,0.0,0.7380011293054772,3.047563676944748,4.464175573975998,4.260420655984913
B_random_forest,12,22,0.10175658651017562,0.030542042272863633,0.18651059014927024,0.056468717272727266,0.24025,1.0,0.6849237718802937,2.929837920955667,4.714913332617003,4.312105192610921
C_gradient_boosting,12,22,0.08872428613198496,0.026274740454590897,0.1915917900161449,0.05647646545454545,0.30075,1.0,0.7605872388481084,2.5676111202053846,4.249681482822394,4.491968630843509
D_grid_baseline,12,22,0.0940106698493851,0.028203135227500006,0.16732236943804063,0.048166311818181824,0.2753,1.0,0.751552795031056,2.8181818181818183,4.577377082170635,4.64760096222232
B1_pole_wins,12,22,1.000000500029089e-06,1.000000000002614e-12,1.000000500029089e-06,1.0000000000078422e-12,1.0,1.0,,,,
B2_champ_leader_wins,12,22,1.2559564143595356,0.0909089090919091,1.2559564143595356,0.0909089090919091,0.0,0.0,,,,
B3_uniform,12,22,0.18490739916777563,0.04338842975206614,0.3983071138052843,0.11776859504132231,0.045454545454545456,,,,,
