target,decile,mean_predicted,observed,n,model
win,1,4.6875e-05,0.0,16,A_ridge
win,2,0.0003318181818181818,0.0,11,A_ridge
win,3,0.0013785714285714287,0.0,14,A_ridge
win,4,0.00295,0.0,12,A_ridge
win,5,0.006303846153846154,0.0,13,A_ridge
win,6,0.014723076923076924,0.0,13,A_ridge
win,7,0.03529230769230769,0.0,13,A_ridge
win,8,0.07102307692307692,0.0,13,A_ridge
win,9,0.12600384615384616,0.07692307692307693,13,A_ridge
win,10,0.18910000000000002,0.35714285714285715,14,A_ridge
podium,1,0.0003928571428571428,0.0,14,A_ridge
podium,2,0.002973076923076923,0.0,13,A_ridge
podium,3,0.010984615384615386,0.0,13,A_ridge
podium,4,0.02007692307692308,0.0,13,A_ridge
podium,5,0.037903846153846156,0.0,13,A_ridge
podium,6,0.07554999999999999,0.07692307692307693,13,A_ridge
podium,7,0.14466153846153845,0.0,13,A_ridge
podium,8,0.2408346153846154,0.23076923076923078,13,A_ridge
podium,9,0.3553423076923077,0.5384615384615384,13,A_ridge
podium,10,0.4604464285714286,0.5,14,A_ridge
